biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 3c571e 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 80b497 60a17b
biome 41 ffffff 80b497 60a17b
biome 42 ffffff aa8a4e b5a353
biome 43 ffffff a3e053 a3e053
biome 44 ffd932 8baf6b b0e088
biome 45 ffffff d8935f dae579
biome 46 ffffff bfb755 aea42a
biome 47 ffffff 9fb771 c9ce65
biome 48 ffffff c9c17f b2c67f
biome 49 ffffff a9ba64 a9ba64
biome 50 ffffff a9ba64 a9ba64
biome 51 ffffff c0d85d 63ae2a
biome 52 ffffff a3ffaa a3ffaa
biome 53 ffffff 8eb971 71a74d
biome 54 ffffff 7fbc6d 60aa48
biome 55 ffffff bfb755 aea42a
biome 56 0e6a35 bfb755 aea42a
biome 57 ffffff bca165 bca165
biome 58 a2ad51 66704c 66704c
biome 59 ffffff ad8e41 afa248
biome 60 ffffff 7dd671 98ef56
biome 61 ffffff bfb755 aea42a
biome 62 ffffff 84d168 67ce52
biome 63 ffffff bac481 ceb979
biome 64 ffffff 70c441 70c441
biome 65 ffffff abd6bc abd6bc
biome 66 00ff2e 57ed64 57ed64
biome 67 ffffff 74d374 66e266
biome 68 ffffff 80b497 60a17b
biome 69 ffffff 7fdb7d 7fdb7d
biome 70 ffffff 609e58 75b569
biome 71 ffffff cec577 aec681
biome 72 ffffff 83bb6d 63a948
biome 73 ffffff 7ca568 8acc6a
biome 74 ffffff 7fbc6d 60aa48
biome 75 ffffff ccc46c a3bc62
biome 76 ffffff ccc46c a3bc62
biome 77 ffffff a1c36d a1c36d
biome 78 ffffff 82c245 64b216
biome 79 ffffff 79c05a 59ae30
biome 80 ffffff 6dc257 48b22c
biome 81 ffffff 6ac44e 45b421
biome 82 ffffff 86b688 67a369
biome 83 ffffff 7fbc6d 60aa48
biome 84 ffffff 63b26d 63b26d
biome 85 ffffff 63b26d 63b26d
biome 86 588276 619365 619365
biome 87 ffffff 9cb774 83a352
biome 88 ff107a 69cfdb 70e099
biome 89 ffffff 9abe4b 82ac1e
biome 90 1e1b26 3f4151 3f4151
biome 91 ffffff d5ff6d d5ff6d
biome 92 ffffff a2ff5f 3aff00
biome 93 ffffff b9b953 a7a529
biome 94 ffffff bfb755 aea42a
biome 95 ffffff bfb755 aea42a
biome 96 ffffff c8e580 ade07b
biome 97 cc5100 9e8b69 9e8b69
biome 98 ffffff 1ad86c 14e26f
biome 99 ffffff 7fbf5c 60ae33
biome 100 ffffff 00995b 00995b
biome 101 ffffff bfb755 aea42a
biome 102 ffffff bec44c b3c442
biome 103 ffffff bec44c b3c442
biome 104 ffffff 647f38 789643
biome 105 ffffff a4b76e 8ca44a
